Country/Region,Lat,Long,Confirmed,Deaths,Recovered,Active,WHO Region
Canada,52.9399,-106.4509,0,0,0,0,Americas
Central African Republic,6.6111,20.9394,0,0,0,0,Africa
Chad,15.4542,18.7322,0,0,0,0,Africa
Chile,-35.6751,-71.543,0,0,0,0,Americas
China,31.8257,117.2264,1,0,0,1,Western Pacific
China,40.1824,116.4142,14,0,0,14,Western Pacific
China,30.0572,107.874,6,0,0,6,Western Pacific
China,26.0789,117.9874,1,0,0,1,Western Pacific
China,35.7518,104.2861,0,0,0,0,Western Pacific
China,23.3417,113.4244,26,0,0,26,Western Pacific
China,23.8298,108.7881,2,0,0,2,Western Pacific
China,26.8154,106.8748,1,0,0,1,Western Pacific
China,19.1959,109.7453,4,0,0,4,Western Pacific
China,39.549,116.1306,1,0,0,1,Western Pacific
China,47.862,127.7615,0,0,0,0,Western Pacific
China,37.8957,114.9042,5,0,0,5,Western Pacific
China,22.3,114.2,0,0,0,0,Western Pacific
China,30.9756,112.2707,444,17,28,399,Western Pacific
China,27.6104,111.7088,4,0,0,4,Western Pacific
China,44.0935,113.9448,0,0,0,0,Western Pacific
China,32.9711,119.455,1,0,0,1,Western Pacific
China,27.614,115.7221,2,0,0,2,Western Pacific
China,43.6661,126.1923,0,0,0,0,Western Pacific
China,41.2956,122.6085,2,0,0,2,Western Pacific
China,22.1667,113.55,1,0,0,1,Western Pacific
China,37.2692,106.1655,1,0,0,1,Western Pacific
China,35.7452,95.9956,0,0,0,0,Western Pacific
China,35.1917,108.8701,0,0,0,0,Western Pacific
China,36.3427,118.1498,2,0,0,2,Western Pacific
China,31.202,121.4491,9,0,0,9,Western Pacific
China,37.5777,112.2922,1,0,0,1,Western Pacific
China,30.6171,102.7103,5,0,0,5,Western Pacific
China,39.3054,117.323,4,0,0,4,Western Pacific
China,31.6927,88.0924,0,0,0,0,Western Pacific
China,41.1129,85.2401,0,0,0,0,Western Pacific
China,24.974,101.487,1,0,0,1,Western Pacific
China,29.1832,120.0934,10,0,0,10,Western Pacific
Colombia,4.5709,-74.2973,0,0,0,0,Americas
Congo (Brazzaville),-0.228,15.8277,0,0,0,0,Africa
Congo (Kinshasa),-4.0383,21.7587,0,0,0,0,Africa
Costa Rica,9.7489,-83.7534,0,0,0,0,Americas
Cote d'Ivoire,7.54,-5.5471,0,0,0,0,Africa
Croatia,45.1,15.2,0,0,0,0,Europe
Cuba,21.521757,-77.781167,0,0,0,0,Americas
Cyprus,35.1264,33.4299,0,0,0,0,Europe
Czechia,49.8175,15.473,0,0,0,0,Europe
Denmark,61.8926,-6.9118,0,0,0,0,Europe
Greenland,71.7069,-42.6043,0,0,0,0,Europe
Denmark,56.2639,9.5018,0,0,0,0,Europe
Djibouti,11.8251,42.5903,0,0,0,0,Eastern Mediterranean
Dominican Republic,18.7357,-70.1627,0,0,0,0,Americas
Ecuador,-1.8312,-78.1834,0,0,0,0,Americas
Egypt,26.820553,30.802498,0,0,0,0,Eastern Mediterranean
El Salvador,13.7942,-88.8965,0,0,0,0,Americas
Equatorial Guinea,1.6508,10.2679,0,0,0,0,Africa
Eritrea,15.1794,39.7823,0,0,0,0,Africa
Estonia,58.5953,25.0136,0,0,0,0,Europe
Eswatini,-26.5225,31.4659,0,0,0,0,Africa
Ethiopia,9.145,40.4897,0,0,0,0,Africa
Fiji,-17.7134,178.065,0,0,0,0,Western Pacific
Finland,61.92411,25.748151,0,0,0,0,Europe
France,3.9339,-53.1258,0,0,0,0,Europe
France,-17.6797,149.4068,0,0,0,0,Europe
France,16.265,-61.551,0,0,0,0,Europe
France,-12.8275,45.166244,0,0,0,0,Europe
France,-20.904305,165.618042,0,0,0,0,Europe
France,-21.1151,55.5364,0,0,0,0,Europe
France,17.9,-62.8333,0,0,0,0,Europe
France,18.0708,-63.0501,0,0,0,0,Europe
France,14.6415,-61.0242,0,0,0,0,Europe
France,46.2276,2.2137,0,0,0,0,Europe
Gabon,-0.8037,11.6094,0,0,0,0,Africa
Gambia,13.4432,-15.3101,0,0,0,0,Africa
Georgia,42.3154,43.3569,0,0,0,0,Europe
Germany,51.165691,10.451526,0,0,0,0,Europe
Ghana,7.9465,-1.0232,0,0,0,0,Africa
Greece,39.0742,21.8243,0,0,0,0,Europe
Guatemala,15.7835,-90.2308,0,0,0,0,Americas
Guinea,9.9456,-9.6966,0,0,0,0,Africa
Guyana,4.860416,-58.93018,0,0,0,0,Americas
Haiti,18.9712,-72.2852,0,0,0,0,Americas
Holy See,41.9029,12.4534,0,0,0,0,Europe
Honduras,15.2,-86.2419,0,0,0,0,Americas
Hungary,47.1625,19.5033,0,0,0,0,Europe
Iceland,64.9631,-19.0208,0,0,0,0,Europe
India,20.593684,78.96288,0,0,0,0,South-East Asia
Indonesia,-0.7893,113.9213,0,0,0,0,South-East Asia
Iran,32.427908,53.688046,0,0,0,0,Eastern Mediterranean
Iraq,33.223191,43.679291,0,0,0,0,Eastern Mediterranean
Ireland,53.1424,-7.6921,0,0,0,0,Europe
Israel,31.046051,34.851612,0,0,0,0,Europe
Italy,41.87194,12.56738,0,0,0,0,Europe
Jamaica,18.1096,-77.2975,0,0,0,0,Americas
Japan,36.204824,138.252924,2,0,0,2,Western Pacific
Jordan,31.24,36.51,0,0,0,0,Eastern Mediterranean
Kazakhstan,48.0196,66.9237,0,0,0,0,Europe
Kenya,-0.0236,37.9062,0,0,0,0,Africa
South Korea,35.907757,127.766922,1,0,0,1,Western Pacific
Kuwait,29.31166,47.481766,0,0,0,0,Eastern Mediterranean
Kyrgyzstan,41.20438,74.766098,0,0,0,0,Europe
Latvia,56.8796,24.6032,0,0,0,0,Europe
Lebanon,33.8547,35.8623,0,0,0,0,Eastern Mediterranean
Liberia,6.428055,-9.429499,0,0,0,0,Africa
Liechtenstein,47.14,9.55,0,0,0,0,Europe
Lithuania,55.1694,23.8813,0,0,0,0,Europe
Luxembourg,49.8153,6.1296,0,0,0,0,Europe
Madagascar,-18.766947,46.869107,0,0,0,0,Africa
Malaysia,4.210484,101.975766,0,0,0,0,Western Pacific
Maldives,3.2028,73.2207,0,0,0,0,South-East Asia
Malta,35.9375,14.3754,0,0,0,0,Europe
Mauritania,21.0079,-10.9408,0,0,0,0,Africa
Mauritius,-20.348404,57.552152,0,0,0,0,Africa
Mexico,23.6345,-102.5528,0,0,0,0,Americas
Moldova,47.4116,28.3699,0,0,0,0,Europe
Monaco,43.7333,7.4167,0,0,0,0,Europe
Mongolia,46.8625,103.8467,0,0,0,0,Western Pacific
Montenegro,42.708678,19.37439,0,0,0,0,Europe
Morocco,31.7917,-7.0926,0,0,0,0,Eastern Mediterranean
Namibia,-22.9576,18.4904,0,0,0,0,Africa
Nepal,28.1667,84.25,0,0,0,0,South-East Asia
Netherlands,12.5211,-69.9683,0,0,0,0,Europe
Netherlands,12.1696,-68.99,0,0,0,0,Europe
Netherlands,18.0425,-63.0548,0,0,0,0,Europe
Netherlands,52.1326,5.2913,0,0,0,0,Europe
New Zealand,-40.9006,174.886,0,0,0,0,Western Pacific
Nicaragua,12.865416,-85.207229,0,0,0,0,Americas
Niger,17.607789,8.081666,0,0,0,0,Africa
Nigeria,9.082,8.6753,0,0,0,0,Africa
North Macedonia,41.6086,21.7453,0,0,0,0,Europe
Norway,60.472,8.4689,0,0,0,0,Europe
Oman,21.512583,55.923255,0,0,0,0,Eastern Mediterranean
Pakistan,30.3753,69.3451,0,0,0,0,Eastern Mediterranean
Panama,8.538,-80.7821,0,0,0,0,Americas
Papua New Guinea,-6.314993,143.95555,0,0,0,0,Western Pacific
Paraguay,-23.4425,-58.4438,0,0,0,0,Americas
Peru,-9.19,-75.0152,0,0,0,0,Americas
Philippines,12.879721,121.774017,0,0,0,0,Western Pacific
Poland,51.9194,19.1451,0,0,0,0,Europe
Portugal,39.3999,-8.2245,0,0,0,0,Europe
Qatar,25.3548,51.1839,0,0,0,0,Eastern Mediterranean
Romania,45.9432,24.9668,0,0,0,0,Europe
Russia,61.52401,105.318756,0,0,0,0,Europe
Rwanda,-1.9403,29.8739,0,0,0,0,Africa
Saint Lucia,13.9094,-60.9789,0,0,0,0,Americas
Saint Vincent and the Grenadines,12.9843,-61.2872,0,0,0,0,Americas
San Marino,43.9424,12.4578,0,0,0,0,Europe
Saudi Arabia,23.885942,45.079162,0,0,0,0,Eastern Mediterranean
Senegal,14.4974,-14.4524,0,0,0,0,Africa
Serbia,44.0165,21.0059,0,0,0,0,Europe
Seychelles,-4.6796,55.492,0,0,0,0,Africa
Singapore,1.2833,103.8333,0,0,0,0,Western Pacific
Slovakia,48.669,19.699,0,0,0,0,Europe
Slovenia,46.1512,14.9955,0,0,0,0,Europe
Somalia,5.152149,46.199616,0,0,0,0,Eastern Mediterranean
South Africa,-30.5595,22.9375,0,0,0,0,Africa
Spain,40.463667,-3.74922,0,0,0,0,Europe
Sri Lanka,7.873054,80.771797,0,0,0,0,South-East Asia
Sudan,12.8628,30.2176,0,0,0,0,Eastern Mediterranean
Suriname,3.9193,-56.0278,0,0,0,0,Americas
Sweden,60.128161,18.643501,0,0,0,0,Europe
Switzerland,46.8182,8.2275,0,0,0,0,Europe
Taiwan*,23.7,121,1,0,0,1,Western Pacific
Tanzania,-6.369028,34.888822,0,0,0,0,Africa
Thailand,15.870032,100.992541,2,0,0,2,South-East Asia
Togo,8.6195,0.8248,0,0,0,0,Africa
Trinidad and Tobago,10.6918,-61.2225,0,0,0,0,Americas
Tunisia,33.886917,9.537499,0,0,0,0,Eastern Mediterranean
Turkey,38.9637,35.2433,0,0,0,0,Europe
Uganda,1.373333,32.290275,0,0,0,0,Africa
Ukraine,48.3794,31.1656,0,0,0,0,Europe
United Arab Emirates,23.424076,53.847818,0,0,0,0,Eastern Mediterranean
United Kingdom,32.3078,-64.7505,0,0,0,0,Europe
United Kingdom,19.3133,-81.2546,0,0,0,0,Europe
United Kingdom,49.3723,-2.3644,0,0,0,0,Europe
United Kingdom,36.1408,-5.3536,0,0,0,0,Europe
United Kingdom,54.2361,-4.5481,0,0,0,0,Europe
United Kingdom,16.742498,-62.187366,0,0,0,0,Europe
United Kingdom,55.3781,-3.436,0,0,0,0,Europe
Uruguay,-32.5228,-55.7658,0,0,0,0,Americas
US,40,-100,1,0,0,1,Americas
Uzbekistan,41.377491,64.585262,0,0,0,0,Europe
Venezuela,6.4238,-66.5897,0,0,0,0,Americas
Vietnam,14.058324,108.277199,0,0,0,0,Western Pacific
Zambia,-13.133897,27.849332,0,0,0,0,Africa
Zimbabwe,-19.015438,29.154857,0,0,0,0,Africa
Dominica,15.415,-61.371,0,0,0,0,Americas
Grenada,12.1165,-61.679,0,0,0,0,Americas
Mozambique,-18.665695,35.529562,0,0,0,0,Africa
Syria,34.802075,38.996815,0,0,0,0,Eastern Mediterranean
Timor-Leste,-8.874217,125.727539,0,0,0,0,South-East Asia
Belize,17.1899,-88.4976,0,0,0,0,Americas
Laos,19.85627,102.495496,0,0,0,0,Western Pacific
Libya,26.3351,17.228331,0,0,0,0,Eastern Mediterranean
West Bank and Gaza,31.9522,35.2332,0,0,0,0,Eastern Mediterranean
Guinea-Bissau,11.8037,-15.1804,0,0,0,0,Africa
Mali,17.570692,-3.996166,0,0,0,0,Africa
Saint Kitts and Nevis,17.357822,-62.782998,0,0,0,0,Americas
Canada,64.8255,-124.8457,0,0,0,0,Americas
Canada,64.2823,-135,0,0,0,0,Americas
Kosovo,42.602636,20.902977,0,0,0,0,Europe
Burma,21.9162,95.956,0,0,0,0,South-East Asia
United Kingdom,18.2206,-63.0686,0,0,0,0,Europe
United Kingdom,18.4207,-64.64,0,0,0,0,Europe
United Kingdom,21.694,-71.7979,0,0,0,0,Europe
Botswana,-22.3285,24.6849,0,0,0,0,Africa
Burundi,-3.3731,29.9189,0,0,0,0,Africa
Sierra Leone,8.460555,-11.779889,0,0,0,0,Africa
Malawi,-13.2543,34.3015,0,0,0,0,Africa
United Kingdom,-51.7963,-59.5236,0,0,0,0,Europe
France,46.8852,-56.3159,0,0,0,0,Europe
South Sudan,6.877,31.307,0,0,0,0,Africa
Western Sahara,24.2155,-12.8858,0,0,0,0,Africa
